,juduls,link,sinopsis,tahuns
51,Dia Pasti Datang,http://filmindonesia.or.id/movie/title/lf-d014-16-612093_dia-pasti-datang,"Larasati sangat disayangi anak panti yang diasuhnya. Daeng Karim, camat muda, tunangan Larasati, berencana menikah dalam waktu yang tidak lama lagi. Larasati bersahabat dengan Alya, walau hanya lewat dunia maya. Mereka melakukan kolaborasi pentas tari yang juga merupakan pentas terakhir Larasati kerena tewas teraniaya Anto dan Fendy, yang sebenarnya ingin membunuh Alya, karena pernah dipermalukan di… ",2016
52,Air Terjun Bukit Perawan,http://filmindonesia.or.id/movie/title/lf-a021-16-948682_air-terjun-bukit-perawan,"Marjuki mengajak enam temannya mendatangi desa kekasihnya Tina, yang sudah hampir tiga bulan tidak ada kabar beritanya. Ternyata Tina tidak ada di rumahnya, maka Marjuki mengajak teman-temannya untuk kemping di bukit. Saat tenda berdiri, tiba-tibaTina datang.
Ketika tidur, Marjuki bermimpi buruk. Tina dibunuh di air terjun dan mayatnya di seret di bebatuan. Keesokan paginya, ketika mereka… ",2016
53,Sawadikap,http://filmindonesia.or.id/movie/title/lf-s009-16-343833_sawadikap,"Ocep (Zaky Zimah) mendapat tiket liburan ke Thailand bersama sahabatnya Bryan (Kiky Drajat) dan Ariel (Lionil Hendrik). Saat mereka tiba, rupanya sedang ada perayaan Pee Ta Khoon, sebuah perayaan adat Bangkok dimana arwah orang yang sudah meninggal, turun kembali ke bumi.
Para arwah punya waktu sebelum perayaan selesai, harus kembali ke alam roh. Jika mereka gagal… ",2016
54,Hantu Cantik Kok Ngompol?,http://filmindonesia.or.id/movie/title/lf-h021-16-376326_hantu-cantik-kok-ngompol,"Empat mahasiswi pasca sarjana jurusan peternakan melanjutkan kuliahnya di Pusat Penelitian Peternakan (PPP) yang berada di tempat terpencil. Jembatan menuju ke situ terputus. Listrik di tempat itu sangat sering mati. Pengelola PPP, sopir, juru masak, para dosen, mahasiswa yang ada disana tampak penuh misteri.
Pembangunan gedung tambahan di bekas kuburan tua yang tidak terawat membuat roh-roh… ",2016
55,Penghuni Lain,http://filmindonesia.or.id/movie/title/lf-p012-15-578511_penghuni-lain,"David (Marcell Chandrawinata), istrinya Lisa (Feby Febiola), dan anak perempuan mereka Putri (Khania Limantara) baru pindah ke rumah baru yang jauh dari kota. Lisa mencurigai sesuatu yang aneh terjadi di sekitar rumah itu . Dia mulai melihat hal-hal aneh dan diteror oleh nenek menyeramkan yang tinggal di rumah kosong di seberang rumah mereka
Mereka mencoba untuk… ",2015
56,Villa 603,http://filmindonesia.or.id/movie/title/lf-v008-15-195821_villa-603,"Randy cemas melihat istrinya, Alya, yang hamil tua, sering mengalami mimpi buruk dan berhalusinasi melihat hantu. Atas saran dokter Randi membawa keluarganya berlibur ke villa 603 yang memiliki pemandangan indah. Di villa itu Alya bisa tidur nyenyak tanpa mengalami mimpi buruk seperti biasanya.
Tapi, ketenangan itu terusik saat Alya kembali berhalusinasi melihat banyak penampakan di villa… ",2015
57,Midnight,http://filmindonesia.or.id/movie/title/lf-m008-15-781924_midnight,"Gofar (Gofar Hilman) dan Guntur (Guntur Tri Yoga) yang bekerja sebagai penyiar radio di Jakarta, selalu merasa ada yang mengawasi setiap siaran program Midnight mereka. Guntur  juga selalu merasa ketakutan karena ada penampakan setan casting. Kantor radio itu satu gedung dengan kantor production house yang sering mengadakan casting. ",2015
58,Sumiati,http://filmindonesia.or.id/movie/title/lf-s007-15-618380_sumiati,"Sumiati (Dinda Surbakti) hidup dalam kesederhanaan dan patuh pada orangtuanya. Ia dijodohkan dengan seorang pelaut. Tiga hari setelah pesta pernikahan, ia diperkosa empat pemuda. Peristiwa itu membuat Sumiati memilih gantung diri.
Sejak awal film, penonton sudah dikejutkan dengan hantu laki-laki yang selalu muncul dalam mimpi Mustofa (Jeyhan Kler),  adik salah satu pemerkosa Sumiati. Karena penasaran Mustofa,… ",2015
59,Badoet,http://filmindonesia.or.id/movie/title/lf-b006-15-791071_badoet,"Di sebuah rumah susun di pinggiran Jakarta tragedi menyambar. Tiga anak kehilangan nyawa dengan tragis: bunuh diri. Padahal anak-anak ini dikenal ceria dan datang dari keluarga yang harmonis.
Tiga anak muda penghuni rusun memutuskan untuk menyelidiki: Donald, mahasiswa penggemar sepakbola yang cerdas namun termperamental; Farel, sepupu Donald yang culun tapi baik hati; serta Kayla, teman kuliah… ",2015
60,Kakak,http://filmindonesia.or.id/movie/title/lf-k005-15-636096_kakak,"Adi (Surya Saputra) dan Kirana (Laudya Chintya Bella) sudah lama menikah namun belum memiliki anak, karena Kirana punya penyakit asma. Kirana mengalami tiga kali keguguran hingga semakin stress dan sedih berkepanjangan. Adi dan Kirana tinggal bersama ibunda Adi, Aida (Ivanka Suwandi) yang tidak menyukai Kirana. Untuk membuat istrinya lebih tenang dan jauh dari Aida, Adi mengajak… ",2015
61,Misterius,http://filmindonesia.or.id/movie/title/lf-m009-15-731012_misterius,"Kematian Sumiyati membawa malapetaka untuk keluarga Lestari Soecipto. Sumiyati adalah pegawai perusahaan garmen milik Lestari, janda dengan dua anak, Agus dan Wulan. Keluarga Lestari sering didatangi arwah gentayangan. Lestari memanggil orang pintar, Pak Gozali. Pak Gozali membuka semua rahasia tentang arwah gentayangan itu. ",2015
62,Cai Lan Gong,http://filmindonesia.or.id/movie/title/lf-c010-15-331393_cai-lan-gong,"Ada legenda di Tiongkok tentang tubuh Chen Jun yang tinggal di desa Yong Tai di wilayah Wu Tong, semakin menyusut seiring  bertambahnya  usia hingga sulit berjalan. Chen Jun diurus oleh tetangganya bermarga Xian. Keluarga Xian membuat sebuah keranjang sebagai alat untuk membawanya ke mana-mana. Penduduk desa menyebutnya Cai Lan Gong (Kakek Keranjang Sayur). Keluarga Xian yang… ",2015
63,Menara Stasiun Cawang,http://filmindonesia.or.id/movie/title/lf-m019-15-842628_menara-stasiun-cawang,"Adit (Iqbal Perdana), sutradara film dokumenter, ingin mencari tahu penyebab kematian istrinya yang misterius. Adit diberi tahu seorang paranormal bahwa ada keterlibatan makhluk gaib dalam kematian istrinya.
Adit, yang tidak percaya pada hal mistis itu, ingin membuktikan sendiri keberadaan makhluk gaib di Menara Stasiun Cawang. Sejak saat itu, hal-hal aneh mulai muncul, terutama ketika Adit kembali… ",2015
64,Dihantui Guna-guna,http://filmindonesia.or.id/movie/title/lf-d016-15-615697_dihantui-guna-guna,"Linda (Melody Prima), Billy (Simon Rama), Ramzi (Taufan Himalay), dan Dave (Avip Pard) yang tergabung dalam klub pemburu hantu Jakarta Ghost Seekers (JGS), mendapat tugas membersihkan rumah Agnes (Any Kusuma Dewi) yang berhantu. Janda cantik ini sangat khawatir hal itu mengganggu pulihnya kesehatan putri sulungnya Sabrina (Glencha Chysara). Ia dengan ditemani Iyem (Yati Surahman) dan adik… ",2015
65,Hantu Kuburan Tua,http://filmindonesia.or.id/movie/title/lf-h015-15-068496_hantu-kuburan-tua,"Sejak kecil Laura harus bertahan menghadapi mamanya, Riska, orang tuanya satu-satunya. Kalau marah, Riska bisa lupa diri. Sering Laura mendapat perlakuan kasar dari mamanya. Jengkel dengan situasi rumah, Laura pergi untuk tugas peliputan situs bersejarah bersama kekasihnya, Edwin, dan kedua temannya, Rizal, dan Maya.
Di tengah perjalanan mobil mereka terhantam tanah longsor saat cuaca hujan deras.… ",2015
66,Miemien: Hantu Posesif,http://filmindonesia.or.id/movie/title/lf-m019-15-575822_miemien-hantu-posesif,"Juna (Chris Laurent) medapat tugas untuk menulis sebuah novel horor tentang hantu. Untuk mendapatkan cerita yang nyata, Juna harus membuka mata batinnya. Mata batin itu mempertemukannya dengan hantu cantik berambut oranye bernama Miemien (Alessia Cestaro). Cinta pun terjalin antara Juna dengan Miemien. Kisah asmara unik antara Juna, Caca (Selena Alesandra), Devin (Amec Aris) dan Miemien juga… ",2015
67,Demona,http://filmindonesia.or.id/movie/title/lf-d006-15-933701_demona,"Rissa (Alexa Key), pramuniaga kafe; pacarnya, pembalap drag race Elang (Rifky Moors); sahabatnya, model professional Demona (Regina Rengganis); Ado (Ajun Perwira), Acha (Inzalna Balqis), dan Bella (Kia Poetri) merayakan pesta ulang tahun Demona. Ado yang memiliki gagasan untuk pesta tersebut.
Ado sedang dirundung masalah keluarga. Ia mengajak teman-temannya untuk ikut melupakan masalah-masalah berat. Gagasan ini tidak… ",2015
68,Hantu Diskotik Kota,http://filmindonesia.or.id/movie/title/lf-h017-15-536531_hantu-diskotik-kota,"Jordan dan Dewina yang baru melangsungkan pernikahan mengalami nasib mengenaskan. Malam itu jordan yang harusnya menikmati malam pertama, tiba-tiba ditinggalkan oleh Dewina ke diskotik hanya untuk melampiaskan kegemarannya.
Ditemani sahabatnya Riska, Dewina menghabiskan malam di diskotik dan mabuk. Pada saat itulah datang Rico, yang menyukai Dewina, bersama tiga sahabatnya, Sandy, Gerry, dan Dion. Rico mencekoki Dewina… ",2015
69,Alpha Project: Arwah Penasaran,http://filmindonesia.or.id/movie/title/lf-a026-15-360752_alpha-project-arwah-penasaran,"Di sebuah ruang rumah sakit jiwa sedang berlangsung wawancara Inspektur polisi Rudi dengan seorang pasien bernama Satya. Pasien tersebut dulunya adalah pimpinan kelompok mahasiswa yang melakukan eksperimen bernama Alpha Project. Kelompok ini terdiri dari empat mahasiswa elektro dari sebuah perguruan tinggi Bandung: Janu, Aji, Dini dan Satya.
Alpha Project adalah sebuah eksperimen peralatan rekaman video untuk… ",2015
70,Palasik,http://filmindonesia.or.id/movie/title/lf-p007-15-180031_palasik,Palasik adalah ilmu hitam untuk panjang umur. Pemilik ilmu Palasik melepas kepalanya dan melayang untuk memangsa bayi. Ilmu Palasik dapat dipelajari dan diturunkan. ,2015
71,Hantu Nancy,http://filmindonesia.or.id/movie/title/lf-h010-15-927632_hantu-nancy,"Hantu Nancy adalah seorang noni Belanda yang konon bunuh diri akibat diperkosa. Ada juga yang bilang kalau Nancy adalah korban pembantaian. Hantu Nancy hanya bisa ""diamankan"" oleh Mang Ucha, pengurus sekolah sekaligus juru kunci bangunan itu.
Satu malam Ray, Kevin, Fandy, Meta melakukan uji nyali dan pencarian Hantu Nancy. Kegiatan itu membuat Hantu Nancy mengamuk. Teror… ",2015
72,Kastil Tua,http://filmindonesia.or.id/movie/title/lf-k009-15-090557_kastil-tua,"Sebuah kisah horror dan misteri yang terjadi di bangunan tua di Malaysia (Kelly’s Castle). Kastil ini peninggalan Kelly Smith, bangsawan Skotlandia, yang meninggalkan Malaysia saat perang dunia pertama.
Tristan, Sarah, David, dan Clara adalah empat sahabat yang tinggal di dua negara. Tristan dan Sarah tinggal di Jakarta, sedangkan David dan Clara kembali ke Malaysia setelah tamat… ",2015
73,The Dark Castle,http://filmindonesia.or.id/movie/title/lf-t013-15-617970_the-dark-castle,"Bram dan Tatia berbulanmadu  ke St Jean Le Vieux, Perancis. Mereka mengunjungi Pérouges, kota kecil tempat perayaan festival musim panas. Di tengah keramaian, Bram dibayangi sosok pria, sementara Tatia digoda anak kecil yang sepertinya mengajaknya bermain. Tatia mengejarnya dan masuk ke dalam lorong-lorong kota  Pérouges. Di lorong itu Tatia diculik. Bram mencari Tatia dan dia pun… ",2015
74,Hagesu (Hantu Gendong Susu),http://filmindonesia.or.id/movie/title/lf-h022-15-601102_hagesu-hantu-gendong-susu,"Ajakan Damar Hatmojo (Andrew Andika) membawa kekasihnya Virna (Celia Thomas), serta sahabatnya Mulan (Farah Zubir) dan Andre (Herrichan), ke Wonosobo yang sudah ditinggalkanya sejak kecil, berakibat fatal. Kedatangannya tidak disambut baik oleh ayahnya, Raden Trias Hatmojo (August Melasz). Raden Trias meminta Damar dan teman-temannya untuk kembali secepatnya ke Jakarta. Damar bersikeras untuk tetap tinggal di rumah… ",2015
75,Dejavu: Ajian Puter Giling,http://filmindonesia.or.id/movie/title/lf-d022-15-190356_dejavu-ajian-puter-giling,"Myrna (Ririn Ekawati) menjadi perawat pribadi Sofia (Ririn Dwi Aryanti) di sebuah rumah tua yang tidak terawat. Saat pertama kali tiba di rumah itu Myrna merasa pernah berada di tempat itu (déjà vu). Dalam rumah itu Sofia tinggal bersama suaminya, Yudo (Dimas Seto). Mereka tidak banyak bicara, tatapannya kosong, sangat dingin dan seringkali muncul tanpa ada… ",2015
76,Paku,http://filmindonesia.or.id/movie/title/lf-p004-15-712512_paku,"Rania tewas tertimpa puing gedung yang runtuh saat terjadi gempa bumi. Hal itu disaksikan langsung oleh Fahmi, suaminya. Fahmi yang tidak dapat menerima pahitnya kenyataan itu, berkeyakinan pasti ada suatu cara yang bisa membuat Rania hidup kembali.
Ia menemui seorang paranormal yang menggunakan ilmu paku kuntilanak. Setelah melalui proses ritual yang mencekam, Rania berhasil dihidupkan kembali.… ",2015
77,Tarot,http://filmindonesia.or.id/movie/title/lf-t005-15-254132_tarot,"Julie dan Tristan mau menikah. Berharap mendapatkan ramalan indah, mereka malah mendapatkan ramalan mengerikan dari seorang pembaca kartu tarot. Kartu-kartu tarot mengatakan bahwa akan ada yang datang dari masa lalu untuk mengambil salah satu nyawa mereka. Tristan tidak percaya dengan ramalan itu.
Tapi Julie mulai memikirkannya karena rasa bersalahnya terhadap saudara kembarnya bernama Sofia yang lahir… ",2015
78,Miss Call,http://filmindonesia.or.id/movie/title/lf-m008-15-230364_miss-call,"Mitha sering me-miss call orang lain, lalu menakuti-nakuti orang tersebut bila orang tersebut menelponnya. Suatu malam sepulang acara pesta ulang tahun sahabatnya, Mitha me-miss call nomor acak yang ternyata pemiliknya sedang bertengkar hebat. Pertengkaran itu berakhir dengan kematian si pemilik nomor yang bernama Chika.
Mitha tidak mengetahui apa yang sesungguhnya terjadi. Dia menyangka telah dipermainkan karena… ",2015
79,Wewe,http://filmindonesia.or.id/movie/title/lf-w004-15-908663_wewe,"Jarot (Agus Kuncoro), istrinya Irma (Inong Nidya Ayu), dan dua anaknya, Luna (Nabilah JKT48) dan Aruna (Khadijah Banderas), masuk rumah baru karena sang ayah pindah tugas. Rumah itu sangat luas dan berada di sebuah jalanan yang terpencil jauh dari kebisingan ibu kota. Bersama mereka juga Bu Surti, pembantu yang sudah belasan tahun bersama keluarga itu. Rumah… ",2015
80,Tuyul part 1,http://filmindonesia.or.id/movie/title/lf-t010-15-649150_tuyul-part-1,"Daniel dan Mia pindah rumah. Daniel mendapat tugas dari kantornya untuk mengurusi perkebunan teh di daerah pegunungan. Mia masih tidak rela pindah ke rumah itu, tetapi ia menyadari bahwa mereka tidak punya pilihan lain. Mereka harus menghemat pengeluaran untuk kelahiran anak pertama mereka. Terlebih rumah itu merupakan peninggalan terakhir dari orangtua Mia yang sudah meninggal.
Pada… ",2015
81,Kampung Zombie,http://filmindonesia.or.id/movie/title/lf-k013-15-824753_kampung-zombie,"Lima sekawan baru saja melakukan perjalanan mendaki gunung. Di tengah perjalanan pulang, mobil yang mereka kendarai mengalami kecelakaan. Mereka bermaksud mencari bantuan di sebuah kampung. Ternyata yang mereka temui adalah sekawanan zombie. Bagaimana kisah seluruh penduduk kampung ini berubah menjadi zombie? Dan, bagaimana pula mereka dapat keluar dari kampung zombie ini? ",2015
82,Kesurupan Jumat Kliwon,http://filmindonesia.or.id/movie/title/lf-k020-15-956073_kesurupan-jumat-kliwon,"Rocky dan Cindy putus asa, karena cinta mereka dipisahkan oleh orangtua. Mereka harus nikah dengan jodoh pilihan orangtuanya. Mereka memutuskan untuk bunuh diri, supaya bisa menyatu di alam kematian.
Sahabat Cindy, Lemon yang banci, mau ikut bunuh diri, karena orangtuanya memaksanya jadi cowok tulen dan dipaksa nikah. Teman Rocky, Daniel, penulis skenario, stress berat dan juga ingin… ",2015
83,Horror House,http://filmindonesia.or.id/movie/title/lf-h011-15-210179_horror-house,"Nadine, wanita karir, akan menikah dengan Terry. Bagi Nadine pernikahan harus berlangsung sempurna. Nadine mendambakan rumah tangga yang tenang, damai dan tentram. Ia percaya, Terry adalah lelaki terbaik yang akan setia mendampinginya selamanya. Persiapan pernikahan dikerjakan mereka berdua.
Nadine tinggal di rumah besar dan mewah hasil jerih payahnya sendiri. Di tengah persiapan menjelang pernikahan, kejadian aneh… ",2015
84,Tes Nyali,http://filmindonesia.or.id/movie/title/lf-t008-15-599443_tes-nyali,"Irman, Sinta, Pingkan, Andi, Frans, dan Alex bertugas membuat acara Uji Nyali untuk televisi. Kali ini mereka mengadakan uji nyali di sebuah rumah sakit tua. Sebelum bertugas, Alex pernah bilang kepada Irman, bahwa dia bermimpi tentang crewnya terjebak di dalam sebuah gedung tua.
Di gedung tua tersebut mereka bertemu dengan seorang pemuda bernama Joko, dan seorang… ",2015
85,Gue Bukan Pocong,http://filmindonesia.or.id/movie/title/lf-g014-15-365155_gue-bukan-pocong,"Sepanjang hidupnya Raka senantiasa menjomblo. Cintanya ditolak 22 kali. Incarannya yang ke-23 adalah Amelia. Belajar dari pengalaman kegagalan sebelumnya, Raka belajar sabar untuk tidak terburu-buru menyatakan isi hatinya. Ketika Raka yakin bahwa Amelia juga menyukai dirinya, barulah Raka menyatakan isi hatinya. Sialnya,  Raka tewas dilindas truk sebelum Amelia memberikan jawabannya.
Raka tidak rela mati. Dia protes… ",2015
86,Takut: Tujuh Hari Bersama Setan,http://filmindonesia.or.id/movie/title/lf-t026-15-251099_takut-tujuh-hari-bersama-setan,"Yudha yang punya masalah paru-paru, pindah ke Vila Andaru di lereng Gunung Wilis. Elisa dan Dewa sengaja mendatangi lereng Gunung Wilis untuk mencari, Erlita, kakak Elisa yang telah lama hilang. Elisa dan Dewa bermalam di Hotel Cempaka yang bersebelahan dengan Vila Andaru.
Ketiganya dipertemukan  di sana. Yudha mengetahui bahwa Elisa dan Dewa mempunyai kemampuan melihat makhluk… ",2015
87,Pohon Keramat,http://filmindonesia.or.id/movie/title/lf-p012-15-032058_pohon-keramat,"Sebuah keluarga kecil menempati rumah baru mereka di tepian kota yang sejuk. Mereka merasa sangat tenang sampai pada satu ketika sang ibu  dikagetkan oleh sosok orang gila yang mengikutinya sampai ke kantornya dan berteriak menyuruh keluarganya keluar dari rumah itu. Keluarga kecil yang terdiri dari ayah, Adrian (Afdhal Yusman) ibu, Novia (Isti Ayu Pratiwi), dan anak… ",2015
88,Nenek Siam,http://filmindonesia.or.id/movie/title/lf-n009-15-854381_nenek-siam,"Tika (Kirana Larasati), Kikan (Tiara Westlake), dan Poppy (Selena Alessandra) sedang dalam perjalanan berlibur ke luar kota saat mereka tersesat dan mobilnya mogok. Terjebak di daerah yang tidak mereka kenal, ditambah lagi dengan signal HP yang hilang membuat mereka putus asa.
Mereka memutuskan mencari pertolongan ke sebuah rumah tua tak jauh dari tempat mereka mogok. Di… ",2015
89,Rumah Kosong,http://filmindonesia.or.id/movie/title/lf-r011-14-190954_rumah-kosong,"Hendra (Dimas Seto) merasa beruntung bisa membeli rumah mewah lengkap dengan segala perabotannya dengan harga sangat murah dari Bima (Anton Andreas), seorang pengusaha tua. Tapi keberuntungan itu tidak berlangsung lama. Istri dan kedua putrinya mengalami mimpi buruk. Satu demi satu kejadian  yang menakutkan terjadi di rumah itu.
Rachel (Angelica Simperler), putri tertua Hendra memberitahu keluarganya kalau… ",2014
90,Bidadari Pulau Hantu,http://filmindonesia.or.id/movie/title/lf-b018-14-991248_bidadari-pulau-hantu,"Evan (Gian Subianto) dan Gesti (Khadjah Shyalimar) melakukan pemotretan pre-wedding di pulau yang dikenal sebagai pulau hantu. Pulau ini terkenal dengan sosok hantu perempuan yang membawa celurit dan menggunakan gaun pengantin. Pasangan ini mengajak Remon (Albern) seorang fotografer, Remi (Mongol Stres), pria penata rias kemayu, Vidi (Cariesta Maya), sepupu Gesti, dan Tilda (Nadia Zuhra).
Di hari… ",2014
91,Danau Hitam,http://filmindonesia.or.id/movie/title/lf-d010-14-527259_danau-hitam,"Tengah malam, di dalam hutan di suatu tempat, sekelompok orang menyingkirkan seorang gadis kecil yang dianggap membawa sial. Mereka memasukkan gadis itu ke dalam peti, menguncinya, lalu melemparkan peti itu ke tengah danau dan dibiarkan tenggelam. Kabut tebal tiba-tiba menyelimuti danau diikuti teriakan keras.
Andrean, Keyla, Boy, Audi, dan Joni pergi ke danau di hutan itu.… ",2014
92,Angker,http://filmindonesia.or.id/movie/title/lf-a006-14-167221_angker,"Didaku dari kisah nyata di daerah Bangil Jawa Timur pada tahun 1979. Harun dan Ratna bersama tiga anak mereka menempati rumah yang mereka beli. Beberapa hari kemudian keluarga ini mengalami kejadian menakutkan di rumahnya. Mereka memanggil paranormal guna membersihkan rumah dari mahluk halus. Setelah diusut lebih jauh ternyata sebelum rumah itu dibangun, di lahan rumah tersebut… ",2014
93,Hantu juga Selfie,http://filmindonesia.or.id/movie/title/lf-h015-14-093168_hantu-juga-selfie,"Gara gara selfie, Helsi (Beby Regita) tewas. Kematian Helsi menggegerkan sahabat-sahabatnya. Helsi selalu muncul saat sahabat-sahabatnya berfoto selfie. Setelah euforia lulusan sekolah, Loly (Agatha Vallerie), Vega (Angelina Novie Tanjung), Gea ( Marcella Daryaani) dan Jean (Aisya Fadilla) pergi liburan ke pulau. Sampai di pulau, Loly ketemu Bara, musuhnya dan juga pacar Helsi. Bara (Lionil Hendrik) menganggap… ",2014
94,Cermin Penari Jaipong,http://filmindonesia.or.id/movie/title/lf-c019-14-743480_cermin-penari-jaipong,"Adit dan teman-temannya memasang kamera di tiap-tiap ruangan rumah lama yang jauh dari perkotaan, tidak terurus dan menyeramkan. Adit terlihat sedih ketika melihat foto masa kecilnya bersama Ibunya yang memakai kostum menari jaipong. Adit bercerita bahwa ayahnya tidak suka dengan profesi Ibunya.
Percakapan mereka terhenti karena mendengar teriakan Nissa di ruang makan. Adit, Bima dan Anna… ",2014
95,Kota Tua Jakarta,http://filmindonesia.or.id/movie/title/lf-k014-14-361851_kota-tua-jakarta,"Sekelompok mahasiswa mengadakan orientasi sambil membuat dokumentasi di sebuah lokasi yang sepi. Salah satu dari mereka, Dara, bisa melihat roh halus yang ada di sekitarnya. Pada suatu ketika, ia melihat hantu dari teman kuliah mereka sendiri. Mereka pun mulai mencari tahu apa yang sebenarnya terjadi dan akhirnya mengetahui kalau teman mereka yang bernama Ade, telah hilang… ",2014
96,Rumah Gurita,http://filmindonesia.or.id/movie/title/lf-r011-14-090924_rumah-gurita,"Selina adalah seorang gadis yang hanya ingin punya kehidupan normal. Tapi sejak ia lahir, Selina mempunyai kemampuan yang membuatnya ketakutan yaitu indra keenamnya. Hal ini membuatnya sering dipandang aneh dan dikucilkan oleh lingkungannya, termasuk kakaknya dan suami kakaknya yang sering memintanya untuk pindah dari rumah mereka. Setelah diputuskan oleh pacarnya dan dipermalukan oleh teman-temannya, Selina memutuskan… ",2014
97,Hantu Merah Casablanca,http://filmindonesia.or.id/movie/title/lf-h020-14-318420_hantu-merah-casablanca,"Ricky yang hendak melanjutan studinya ke luar negeri. mengundang para sahabat dekatnya (Gio, Aldo, Hanna, Windy dan Mery) berpesta di rumahnya di kawasan Casablanca, Keesokan harinya ia terkejut melihat Hanna tewas terbunuh, sementara Gio, tunangan Hanna, ditemukan terikat di dalam kamar mandi. Rasa bersalah dan ketakutan membuat mereka memutuskan untuk memakamkan Hanna diam-diam di dekat rumah… ",2014
98,Solit4ire,http://filmindonesia.or.id/movie/title/lf-s009-14-564562_solit4ire,"Terinspirasi dari permainan kartu Solitaire dengan 4 jenis kartu (Spade, Heart, Diamond, Club). Empat orang yang berbeda, walau saling terkait mengalami pengalaman yang mengerikan pada satu malam. Nova (Pamela Halatu), bekerja lembur di kantornya yang berhantu. Risa (Karina Ranau), yang menemukan bahwa tenyata tempat kostnya dihuni oleh sesuatu mahluk yang penuh amarah. Cumi (Nico Hermawan), pada… ",2014
99,Kuntilanak Ciliwung,http://filmindonesia.or.id/movie/title/lf-k018-14-126236_kuntilanak-ciliwung,"Flora membuat kehebohan dengan menuliskan “aku ingin mati” pada status facebook-nya. Status itu membuat pacarnya, Danu cemas. Danu merasa Flora tertekan, karena memiliki ibu yang sangat protektif padanya. Danu lalu mengajak Flora dan dua sahabat mereka, Bella dan Marcell untuk menginap di rumahnya yang sedang sepi, karena orangtua Danu pulang kampung.
Malam itu, di tepi Sungai… ",2014
100,Nyi Roro Kidul Project,http://filmindonesia.or.id/movie/title/lf-n019-14-034161_nyi-roro-kidul-project,"Sandra harus menelan kenyataan memilukan. Mamanya mengalami kecelakaan mobil dalam perjalanan pulang ke rumah untuk merayakan hari ulang tahun Sandra ke-17.  Sandra pun menjadi yatim piatu, karena sebelumnya ayahnya pun sudah meninggal. Semakin mengejutkan lagi saat Sandra tahu dari Tante Mia, bahwa dia diadopsi dari panti asuhan yang berada jauh di daerah pedalaman Jawa. Tante Mia… ",2014
101,13 (Tigabelas),http://filmindonesia.or.id/movie/title/lf-1011-14-933576_13-tigabelas,"Kevin, dan Nayla baru saja menikah dan menempati rumah baru yang serba otomatis. Di kompleks perumahan ini juga tinggal keluarga Julian dan Ditta, rekan sekantor Kevin. Linda, ibu Kevin, ikut tinggal di rumah baru itu, karena tetap ingin mengatur hidup anak tunggalnya.
Di rumah itu ada hal yang mengganggu: selalu saja ada pasir. Beberapa benda juga… ",2014
102,Tumbal 97,http://filmindonesia.or.id/movie/title/lf-t008-14-694209_tumbal-97,"Kematian istri Saeful Jamil, artis ternama, turut menarik perhatian Prista, wartawan majalah Misteri, yang ditugaskan mengungkap kecelakaan tsb. Pada saat mengambil gambar di tempat kejadian kecelakaan, Prista tersentak kaget ketika ia melihat ada yang janggal pada hasil fotonya  Ada sesosok bayangan nenek  tua berambut pirang,
Prista penasaran ingin mengetahui ada apa di balik misteri kecelakaan yang… ",2014
103,Taman Langsat Mayestik,http://filmindonesia.or.id/movie/title/lf-t020-14-164989_taman-langsat-mayestik,"Ozie, sutradara, mengajak seorang produser untuk membuat film horor. Ozie mempercayai team untuk mencari para pemeran film, namun ia kurang puas dengan hasilnya. Muncul gagasan untuk memilih  pemeran di lokasi paling angker di Jakarta. Dipilihlah Taman Langsat Mayestik.
Taman Langsat Mayestik ternyata tempat itu sangat sangat angker. Di situ tumbuh pohon langsat, dan di masa lalu… ",2014
104,Hantu Pohon Boneka,http://filmindonesia.or.id/movie/title/lf-h016-14-138394_hantu-pohon-boneka,"Sepeninggal ayahnya, Lisa, mahasiswi, pindah ke rumah baru bersama ibunya Wida, kakaknya Vino, musisi cuek, dan adiknya Vivi. Lala, sahabat Lisa, sering tinggal di situ, karena Lisa butuh teman.
Dalam perjalanan ke rumah baru, mereka melewati Pohon Boneka, sebuah pohon misterius yang digantungi banyak boneka. Saat melewati pohon tersebut, tanpa sengaja mereka melanggar pamali. Beruntung mereka… ",2014
105,Kamar 207,http://filmindonesia.or.id/movie/title/lf-k008-14-006675_kamar-207,"Echa, Cacha, Revan, dan Rangga, penyuka segala hal yang kuno dan mistis, membantu proses penyembuhan seorang anak kecil yang kerasukan. Sukses mereka ini lalu diterbitkan dalam blog mereka: Jampi-jampi.
Di tempat lain, Pak Rebo, manajer hotel Mary's Inn, bertekad ingin berhenti. Shasi, pemilik hotel warisan dari ayahnya, terpaksa mengurus hotel tersebut sendirian. Masalahnya, sejak ayah Shasi… ",2014
106,Main Dukun,http://filmindonesia.or.id/movie/title/lf-m009-14-915780_main-dukun,"Layla terkejut ketika roh Nenek Santet yang terpenjara dalam sebuah cermin antik yang dicurinya, menampakkan wujudnya. Nenek Santet menawarkan ilmu awet muda pada Layla jika bersedia membebaskan rohnya dari dalam cermin. Tawaran diterima oleh Layla,
Setelah lepas dari cermin, Nenek Santet membalaskan dendamnya pada dukun keturunan terakhir dari orang yang pernah mengalahkan nenek santet dan memasukkan… ",2014
