,juduls,link,sinopsis,tahuns
13,Devil’s Whisper,http://filmindonesia.or.id/movie/title/lf-d013-17-537827_devils-whisper,"Alejandro Duran atau Alex, 15 tahun, berasal dari keluarga Amerika Latin religius. Dia memiliki cita-cita untuk menjadi pastor. Semua rencananya berantakan, saat Alex menemukan sebuah kotak misterius yang diturunkan turun-temurun dari kakek dan neneknya. Dan saat dia membuka paksa kotak tersebut, tanpa disadari dia melepaskan roh jahat yang ingin merasuki dirinya. Alejandro Duran harus menemukan cara… ",2017
14,Gunung Bawakaraeng,http://filmindonesia.or.id/movie/title/lf-g017-17-251034_gunung-bawakaraeng,"Mitos-mitos Gunung Bawakaraeng membuat sekelompok pendaki penasaran untuk membuktikan kebenarannya, terutama pendaki asal Jakarta bernama Jey. Suatu hari Jey meminta para pendaki asal Makassar untuk mengantarnya ke Gunung Bawakaraeng, namun para pendaki asal Makassar ini tidak sanggup. Jey mengeluarkan 15 juta buat para pendaki tersebut agar dapat menemaninya. Perjalanan diawali dari Kampung Lembanna yang penuh dengan… ",2017
15,Mereka Yang Tak Terlihat,http://filmindonesia.or.id/movie/title/lf-m021-17-191634_mereka-yang-tak-terlihat,"Lidya (Sophia Latjuba), single parent, punya dua putrid: Saras (Estelle Linden) dan Laras (Bianca Hello). Saras adalah anak indigo, Saras bisa melihat mahluk-mahluk tak kasat mata seperti hantu ataupun jin dan sejenisnya. Ini dianggap tidak masuk akal oleh Lidya, sehingga membuat hubungan Lidya dengan Saras memiliki jarak. Lidya semakin lama semakin tidak mengerti dengan tingkah Saras.… ",2017
16,Hantu Sei Ladi,http://filmindonesia.or.id/movie/title/lf-h012-17-886487_hantu-sei-ladi,Hantu penunggu Jembatan Sei Ladi ternyata menyayangi Viola. Upaya keluarga untuk mengambil kembali arwah Viola dari hantu jembatan Sei Ladi tidak pernah berhasil. ,2017
17,Ruqyah: The Exorcism,http://filmindonesia.or.id/movie/title/lf-r017-17-694765_ruqyah-the-exorcism,"Ini sebuah kisah nyata yang terjadi pertengahan tahun 2012: Mahisa (Evan Sanders) ingin menolong seorang artis film bernama Asha (Celine Evangelista) yang merasa diganggu oleh makhluk halus. Karena terlalu banyak kejadian aneh yang dilihatnya, Mahisa yakin bahwa Asha dirasuki makhluk gaib. Setelah berkonsultasi dengan ustad kenamaan, ia mencoba melakukan ruqyah untuk membersihkan Asha. Ternyata apa yang… ",2017
18,Pengabdi Setan,http://filmindonesia.or.id/movie/title/lf-p013-17-151674_pengabdi-setan,"Rini beserta bapak, ibu, dan ketiga adik laki-lakinya terpaksa tinggal di rumah neneknya di luar kota setelah rumah mereka dijual untuk pengobatan ibunya. Ibunya sakit selama tiga setengah tahun tanpa diketahui penyebabnya sehingga keluarganya mengalami krisis finansial. Setelah ibunya meninggal, ayah Rini pergi untuk sebuah pekerjaan. Teror mulai muncul. Sosok hantu perempuan menyerupai ibu mereka menghantui… ",2017
19,Hantu Jeruk Purut Reborn,http://filmindonesia.or.id/movie/title/lf-h021-17-327772_hantu-jeruk-purut-reborn,"Papa Jenny meninggal dan dimakamkan di TPU Jeruk Purut. Masalah mulai ketika pulang ke rumah masing-masing. Farah, teman Jenny, diteror hantu. Farah mencaritakan hal ini pada Reno. Awalnya Reno tidak percaya. Rupanya hantu juga mendatangi Reno. Hantu juga merasuki Jenny. Jenny dan Farah kebingungan bagaimana cara menenangkan hantu yang marah. Reno yakin Airin bisa menolong mereka,… ",2017
20,Petak Umpet Minako,http://filmindonesia.or.id/movie/title/lf-p016-17-506813_petak-umpet-minako,"Sekelompok sahabat berkunjung ke sekolah lama mereka untuk reuni. Salah seorang dari mereka mengusulkan bermain petak umpet menggunakan boneka Itchimatsu dari Jepang bernama Minako. Permainan petak umpet Minako berasal dari urban legend Jepang yaitu Hitori Kakurenbo, sebuah permainan petak umpet dengan ritual memanggil arwah dan menggunakan boneka. Suasana ceria reuni berubah menjadi pengalaman mengerikan. Tidak hanya… ",2017
21,The Real Parakang: Warisan Berdarah,http://filmindonesia.or.id/movie/title/lf-t030-17-775976_the-real-parakang-warisan-berdarah,"Aksi Bagas yang memiliki ilmu hitam parakang, meresahkan warga. Rusman, mertuanya, yang tidak ingin melihat ada korban jiwa lagi, dengan sangat terpaksa menghabisinya dengan cara menembak kepalanya. Di saat sama, Elena, wartawati yang memiliki indra keenam, melihat seorang anak kecil mewarisi ilmu parakang. Elena yang tidak ingin ada korban jiwa dari aksi parakang, mengajak Rino untuk… ",2017
22,12:06 Rumah Kucing,http://filmindonesia.or.id/movie/title/lf-1015-17-651788_1206-rumah-kucing,"Banyak kejadian aneh dan menakutkan yang dialami keluarga Randy (Adi Nugroho) dan Rosa (Masayu Anastasia), sejak terbelahnya secara misterius lantai gudang di rumahnya pada 12.06. Kehadiran beberapa ekor kucing membuka kisah tragis masa lalu dan membangkitkan arwah Sally, yang meninggal dunia secara tidak wajar. Semula Randy tidak percaya pada cerita-cerita seram yang menakutkan yang dialami istri… ",2017
23,Psikopat,http://filmindonesia.or.id/movie/title/lf-p008-17-351884_psikopat,"Exel (Aga Dirgantara), Alisya (Marsya Doeni), Chrissy (Kezia Karamoy), dan Gigih (Idon Juan) diteror ketika berada di vila milik Randi (Iqbal Perdana). Mereka melihat hantu mendiang Lara (Baby Margaretha), yang menuntut penyelesaian atas kematiannya yang tak wajar. Kasus pembunuhan berantai lalu terkuak pelan-pelan. Pertama, Gadis (Mila Cheah), pacar Randi, ditemukan tewas di vila itu. Berdasarkan penyelidikan… ",2017
24,The Doll 2,http://filmindonesia.or.id/movie/title/lf-t008-17-331993_the-doll-2,"Maira dan Aldo hidup berbahagia dengan Kayla, anak mereka yang masih kecil, dan juga Yani, pembantu mereka. Sebuah kecelakaan tragis merenggut nyawa Kayla dan membuat kebahagian mereka hilang. Enam bulan kemudian, tepat di hari ulang tahun Kayla, Maira mulai merasakan bahwa ia tidak sendirian. Maira merasa bahwa Kayla masih belum benar-benar pergi. Atas saran Elsa, sahabatnya,… ",2017
25,Jailangkung,http://filmindonesia.or.id/movie/title/lf-j011-17-782460_jailangkung,"Tiga gadis ingin menguak misteri yang terjadi pada ayah mereka yang ditemukan koma secara misterius. Bella (Amanda Rawless) bersama kakaknya Angel (Hanna Al Rasyid), dan adiknya Tasya berusaha menemukan jawabannya dengan bantuan Rama (Jefri Nichol), teman kampus Bella yang tertarik pada hal metafisik. Seorang pilot bernama Capt Wardana (Augie Fantinus) membantu mereka. Mereka menemukan jailangkung yang… ",2017
26,Multiverse: The 13th Step,http://filmindonesia.or.id/movie/title/lf-m021-16-532793_multiverse-the-13th-step,"Farrel dan keluarganya baru saja pindah ke sebuah rumah. Setelah beberapa lama menempati rumah tersebut, Farrel mendapatkan pesan singkat dari seorang gadis yang bernama Nadia. Hanya dengan menggunakan ponsel, hubungan mereka semakin lama semakin dekat dan mampu membuat Farrel jatuh cinta pada Nadia, walaupun mereka belum pernah bertatap muka.
Belakangan, Farrel beserta teman-temannya mengeksplorasi basement yang… ",2017
27,Parakang: Manusia Jadi-jadian,http://filmindonesia.or.id/movie/title/lf-p025-17-054875_parakang-manusia-jadi-jadian,"Syamsul dan Narti sebagai parakang (manusia jadi-jadian) dipertemukan, di kedalaman hutan karena jadi buruan warga di dusun mereka masing-masing. Mereka kepergok ketika hendak memangsa korbannya. Syamsul saat mencoba menghisap usus lelaki usur jelang ajal, dan Narti dengan seorang ibu hamil. Pertemuan itu menjadikan mereka sepasang kekasih. Di sebuah desa yang cukup jauh dari tempat mereka tinggal… ",2017
28,The Curse,http://filmindonesia.or.id/movie/title/lf-t008-17-565131_the-curse,"Shelina, pengacara Indonesia, bekerja di salah satu law firm ternama di Melbourne, sedang menangani kasus pembunuhan seorang pengusaha expat kaya di Australia: Sarawut meninggal di rumahnya bersama anaknya, David, karena keracunan. Istri Sarawut, Leann W. tersangkanya. Suatu ketika Shelina didatangi roh halus di rumahnya. Roh halus itu semakin hari, semakin jelas penampakannya dan sangat menganggu. Shelina… ",2017
29,Danur: I Can See Ghosts,http://filmindonesia.or.id/movie/title/lf-d018-17-900263_danur-i-can-see-ghosts,"Di hari ulang tahunnya ke-8 Risa meminta seorang teman agar ia tidak kesepian lagi. Ibunya, Elly, mendapati anaknya sering tertawa sendiri dan bermain seolah-olah dengan banyak teman. Elly mencari jalan untuk memisahkan Risa dari sahabatnya yang ternyata hantu. Dengan terpaksa teman Risa pergi dari rumah neneknya. Sembilan tahun kemudian Risa kembali ke rumah tersebut menjaga nenek… ",2017
30,Ular Tangga,http://filmindonesia.or.id/movie/title/lf-u010-17-139767_ular-tangga,"Fina, mahasiswi berpotensi indigo, memiliki firasat buruk. Hal itu terkait dengan rencana mendaki gunung tim pecinta alam kampusnya. Tim yang akan berangkat dalam pendakian itu dipimpin Bagas, kekasihnya. Bagas tidak percaya pada kekhawatiran Fina. Ia membujuk Fina untuk tetap berangkat bersama Martha, William, Dodoy, dan Lani. Perjalanan mereka dibantu Gina, pendaki dan penunjuk jalan yang berpengalaman.… ",2017
31,Gunung Kawi,http://filmindonesia.or.id/movie/title/lf-g010-17-235185_gunung-kawi,"Dika prihatin sekali pada Drajat (46), bapaknya, yang menunjukkan perilaku aneh dan mengerikan. Bella (20), sepupu Dika, yang membantu mengawasi Drajat, pernah hampir terbunuh karena dianggap telah lama mati. Keanehan Drajat dimulai sejak pabrik rokoknya bangkrut. Ketika Dika tanpa sengaja menemukan foto-foto Drajat dengan seorang kakek di Gunung Kawi. Bukti lain memastikan keterlibatan Drajat dengan praktek… ",2017
32,The Promise,http://filmindonesia.or.id/movie/title/lf-t010-17-427086_the-promise,"Riri (Mitha The Virgin) adalah penyiar yang membacakan kisah-kisah misteri di radio dan Wanda (Dara The Virgin) adalah penggemar acara Riri. Wanda senang menulis kisah misteri tapi tidak punya nyali untuk mengirimkannya ke radio. Wanda lumpuh setelah mengalami kecelakaan mobil, yang menewaskan adiknya, Tino. Suatu ketika Riri ditemukan ibunya, mati gantung diri di kamarnya. Sejak kematian… ",2017
33,Otajin,http://filmindonesia.or.id/movie/title/lf-o006-16-766230_otajin,"Virnie yang kuliah di Jakarta, mendapat kabar bahwa kedua orangtuanya tewas terbunuh secara misterius di rumahnya sendiri. Adiknya Niko ditemukan dalam keadaan stres, terkunci di dalam lemari. Polisi bingung untuk mengungkap kasus ini. Tidak ada saksi yang melihat. Tidak ada orang lain di dalam rumah. Niko tidak bisa dimintai keterangan karena masih trauma. Virnie pulang ke… ",2016
34,Rumah Malaikat,http://filmindonesia.or.id/movie/title/lf-r013-16-475760_rumah-malaikat,"Alexandra (Mentari De Marelle), mahasiswa, menjadi guru pengganti di sebuah Panti Asuhan bernama Rumah Malaikat. Alexandra menggantikan Irma, yang tidak tahan lagi mengajar karena selalu diganggu oleh hantu anak kecil. Kedatangan Alexandra mendapatkan sambutan buruk dari anak anak panti. Alexandra kerap ditakut-takuti. Alexandra mengadukan perbuatan anak-anak itu, namun tidak ada yang mengakui. Alexandra tidak mengetahui bahwa… ",2016
35,Adrenaline,http://filmindonesia.or.id/movie/title/lf-a010-16-246195_adrenaline,"Rumah Hantu Indonesia mencari pemain sebagai ‘hantu baru’. Gaji 130 juta dan kontrak eksklusif dengan royalti 13 persen per tahun seumur hidup. Calon ‘hantu baru’ harus lolos audisi. Peserta harus tandatangan kontrak cap jempol dengan darah mereka. Setelah audisi, lima peserta, Victor, Anjani, Michael, Kim, dan Catherine masuk babak grand final. Mereka harus bertahan satu malam… ",2016
36,Barakati,http://filmindonesia.or.id/movie/title/lf-b008-16-355987_barakati,"Abdul Manan (Fedi Nuril), arkeolog muda Yogya, kedatangan wartawan asal Inggris, Gerry Johnson (Jono Armstrong), yang minta dijelaskan makna beberapa baris kalimat dalam lontar dari abad ke 14. Ternyata kalimat-kalimat tersebut adalah penggalan catatan patih Majapahit, Gajah Mada (Tio Pakusadewo), tentang keberadaan ratu adil yang selama ini dianggap hanya mitos belaka. Yang lebih menarik lagi artefak… ",2016
37,Missing You,http://filmindonesia.or.id/movie/title/lf-m010-16-084772_missing-you,"Libby (Claudia Indah) sering diganggu mahluk halus semenjak menempati rumah baru. Dia menuduh ibu tirinya, Karina (Dewi Oktaviany), penyebabnya, karena dia pernah merobek foto ibu kandungnya. Libby tidak begitu suka dengan Karina. Karina tetap sabar mengurus dan menyayangi Libby seperti anak kandungnya sendiri. Suatu ketika Karina akan dibunuh oleh sosok mahluk yang menempati rumah tersebut, Karina… ",2016
38,The Doll,http://filmindonesia.or.id/movie/title/lf-t007-16-088295_the-doll,"Anya dan Daniel pindah ke sebuah rumah di Bandung dan siap menjalani kehidupan baru mereka. Tanpa sengaja, Daniel membawa pulang sebuah boneka dari lokasi proyek tempat ia bekerja di Jalan Siliwangi. Boneka tersebut ada di atas pohon yang kemudian ditebang untuk keperluan proyek real estatenya.
Anya, pembuat boneka, dengan senang hati meletakkan boneka itu di rumah… ",2016
39,Daerah Terlarang,http://filmindonesia.or.id/movie/title/lf-d015-16-059150_daerah-terlarang,"Malam itu Reza, Deny, Elin, dan Desy menuju Puncak untuk shooting film horror. Ketika melewati sebuah rumah angker, mobil mereka mogok. Mereka kemudian diteror pocong penunggu rumah angker. Mereka bisa lolos dan menginap di sebuah penginapan. Ternyata pocong mengikuti mereka. Reza dkk kembali diteror. Menurut informasi penduduk, pocong itu arwah Mimin, kembang desa yang bunuh diri… ",2016
40,Indera Keenam,http://filmindonesia.or.id/movie/title/lf-i012-16-712990_indera-keenam,"Merry membeli rumah kecil dan tinggal bersama dengan anak perempuannya. Merry mengalami kembali keadaan yang dulu pernah terjadi: melihat alam lain. Dia merasa sendiri karena tiada orang yang percaya padanya. Dina sudah tahu keanehan ibunya yang selalu bicara dengan Dina lain yang tidak bisa dilihat olehnya.
Keanehan Merry makin hari makin menjadi-jadi.Merry sedih karena anak perempuannya… ",2016
41,Pontien: Pontianak Untold Story,http://filmindonesia.or.id/movie/title/lf-p027-16-528488_pontien-pontianak-untold-story,"Artha mendapat kabar tentang kehilangan abangnya yang tinggal di Pontianak, Kalimantan Barat. Ia menelusuri kota itu untuk menemui iparnya yang bernama Inur. Pencariannya justru memunculkan cerita tentang lingkungan hidup yang rusak. Artha terseret dalam sebuah dunia lain yang mengungkap misteri di balik kehilangan abang.
Hutan Kalimantan Barat membawanya ke masa lalu tentang kota Pontianak. Ia dibuntuti… ",2016
42,Jangan Dengerin Sendiri,http://filmindonesia.or.id/movie/title/lf-j021-16-847701_jangan-dengerin-sendiri,"Saat mengeksplorasi Gunung Sadahurip untuk tugas kuliah, Alya (Adinda Rizkyana), Reno (Reza Levi) dan Helda (Amalthea Kezia) mendengarkan siaran radio ""Jangan Dengerin Sendiri"" (JDS), siaran tentang ekspedisi supernatural tiap Kamis malam di Radio OZ , yang dipimpin oleh Naomi (Naomi Angelia Sea) dan dibantu oleh Daya (Herrichan) dan Cahyo (Kama Bashkara).
Reno nekad mendengarkan JDS sendirian… ",2016
43,Rumah Pasung,http://filmindonesia.or.id/movie/title/lf-r011-16-106580_rumah-pasung,"Ryan (Stefan William), Sultan (Wafda Saifan) dan Mayang (Yudittia Mayang) adalah crew ekspedisi alam gaib untuk program tv, Horror Calling. Ryan bertindak sebagai host acara. Mayang, seorang indigo, bertugas menunjukkan munculnya penampakkan gaib. Sedangkan Sultan juru kamera.
Suatu hari Ryan harus menghadiri pemakaman papa kandungnya. Harsono dan Ratna, orangtua Ryan, membuka tabir masa lalu Ryan sebenarnya.… ",2016
44,Cipali Km 182,http://filmindonesia.or.id/movie/title/lf-c011-16-173303_cipali-km-182,Beberapa kecelakaan di jalan tol Cikopo–Palimanan alias Cipali menarik perhatian masyarakat. Banyak yang percaya dibalik pembangunan jalan to ini ada kisah mistisnya. Ada batu teronggok misterius di sisi jalan tol itu. Kisah misteri inilah yang diungkap film ini. ,2016
45,Video Maut,http://filmindonesia.or.id/movie/title/lf-v009-16-366592_video-maut,"Rencana Doni membawa kekasihnya, Maya ke sebuah villa terpencil adalah untuk membuat video mereka berdua di ranjang, dan menjualnya pada Alvin untuk disebarkan di internet. Maya, gadis polos yang baru berpacaran dengan Doni, sama sekali tidak mengetahui hal ini. Tanpa sengaja ia membawa temannya, dan membuat Doni kesal, tapi ia tidak bisa berbuat apa-apa karena Maya… ",2016
46,Gila Jiwa the Movie,http://filmindonesia.or.id/movie/title/lf-g016-16-573085_gila-jiwa-the-movie,Empat remaja terobsesi membuat film dengan tema dan alur cerita yang antimainstream. Keempat renaja ini adalah Omo yang ingin menjadi aktor sekaligus produser. Alex yang ingin menjadi pembuat film handal dengan gaya tutur cerita yang antimainstream. Ruben berpendirian bahwa dalam film harus ada kebebasan berekspresi dan primadona. Dan Dea yang ingin membuat film dengan cerita yang… ,2016
47,Ghost Diary,http://filmindonesia.or.id/movie/title/lf-g010-16-057677_ghost-diary,"Marsha, yang tinggal di sekolah putri berasrama, sering dirisak oleh teman-temannya, Puput, Stefani, dan Nina Saat liburan Marsha tidak pulang, karena semenjak ibunya meninggal dan ayahnya menikah lagi, ibu tirinya tidak mengharapkan kehadiran Marsha. Sementara Puput, Stefani, dan Nina tidak pulang karena terkena hukuman akibat merisak Marsha.
Keanehan demi keanehan terjadi. Marsha mendengar tangisan dari satu… ",2016
48,Oops!! Ada Vampir,http://filmindonesia.or.id/movie/title/lf-o013-16-601700_oops-ada-vampir,"Dalam rangka ingin mengambil hati Aming (Iszur Muhtar), ayah Meylan (Cassandra Lee), cintanya, Rendy (Rizky Alatas) bersedia membawa jenazah Opa Meylan (Henky Solaiman) untuk doa pemakaman.
Jenazah Opa Meylan malah jadi vampir karena melanggar pantangan ritual. Vampir mengacak-acak acara dan menghancurkan rencana Rendy. Lebih parah lagi, Aming terkena cakaran vampir yang jika tidak cepat disembuhkan akan… ",2016
49,Dilarang Masuk..!,http://filmindonesia.or.id/movie/title/lf-d013-16-354405_dilarang-masuk,"Sekolah digegerkan dengan hilangnya Lisa, murid baru yang cenderung pendiam. Adit yang melihat Lisa terakhir kali di lantai atas sekolah, berencana membuat misi mencari Lisa bersama kelima kawanya yang masing-masing mempunyai karakter berbeda. Semua menolak ajakan Adit, karena lantai atas sekolah sudah lama kosong dan dilarang untuk siapapun memasukinya. Karena Adit memaksa dengan alasan iba terhadap… ",2016
50,Iblis,http://filmindonesia.or.id/movie/title/lf-i005-16-342020_iblis,"Den (Christian Loho) membeli sebuah rumah putih sebagai hadiah untuk istrinya, Kim (Stevie Dominique), agar mereka bisa memulai kembali keharmonisan rumah tangga mereka yang telah lama hilang.
Semenjak mereka menempati rumah tersebut, banyak hal-hal aneh yang dirasakan pasangan suami istri ini, terutama Kim. Kim selalu diganggu oleh kehadiran sosok yang menerornya. Den juga merasakan hal yang… ",2016
